Type,Genus,Species,Fossil type,Dispersal unit,Isodiametric tetrad or anisodiametric tetrad,Aperture type,Amb shape (polar view shape),Exine ornamentation (surface),Tetrad diameter (D) (µm),Individual cell equatorial diameter (d) (µm),Individual cell polar axis (P) or Monad polar axis (P) (µm),Septum (septal exine) thickness (Se) (µm),Exine thickness (Ex) (µm),Tetrad diameter/Cell equatorial diameter (D/d),Cell P/E axis ratio (P/d),Ex/Se,Monad equatorial diameter (E),Monad P/E axis ratio (P/E),Cell big polar axis (µm),Equatorial shape,"Aperture length (2f for tetrad, L for monad) (µm)",Aperture width (W) (µm),2f/W or L/W,2f/D
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,6,64.29,52.78,35.87,3.69,3.36,1.22,0.68,0.91,NA,NA,NA,5,32.92,1.48,22.24,0.51
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,6,60.16,46.65,31.58,3.65,4.15,1.29,0.68,1.14,NA,NA,NA,5,30.88,2.23,13.85,0.51
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,6,57.33,47.87,30.64,3.21,4.14,1.2,0.64,1.29,NA,NA,NA,5,26.97,0.94,28.69,0.47
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,6,59.94,49.4,31.4,4.41,3.41,1.21,0.64,0.77,NA,NA,NA,5,26.04,1.21,21.52,0.43
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,6,58.62,49.72,39.64,3.07,3.76,1.18,0.8,1.22,NA,NA,NA,5,29.26,1.61,18.17,0.5
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,6,62.86,48.64,31.46,4.22,3.76,1.29,0.65,0.89,NA,NA,NA,5,27.52,1.21,22.74,0.44
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,6,62,50.02,32.09,4.34,5.05,1.24,0.64,1.16,NA,NA,NA,5,27.82,1.59,17.5,0.45
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,47.54,40.37,25.54,3.41,2.76,1.18,0.63,0.81,NA,NA,NA,5,21.58,1.19,18.13,0.45
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,47.81,44.56,26.4,2.93,3.99,1.07,0.59,1.36,NA,NA,NA,5,20.77,1.15,18.06,0.43
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,56.68,43.89,28.61,2.78,3.83,1.29,0.65,1.38,NA,NA,NA,5,27.54,0.92,29.93,0.49
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,54.33,43.18,28.77,3.78,3.28,1.26,0.67,0.87,NA,NA,NA,5,23.17,1.19,19.47,0.43
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,61.07,48.55,31.15,2.95,4.53,1.26,0.64,1.54,NA,NA,NA,5,26.38,0.99,26.65,0.43
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,58.24,50.18,30.24,4.72,3.38,1.16,0.6,0.72,NA,NA,NA,5,25.25,1.13,22.35,0.43
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,53.28,47.64,27.65,4.83,5.38,1.12,0.58,1.11,NA,NA,NA,5,23.71,1.03,23.02,0.45
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,61.3,40.63,32.18,5.13,3.33,1.51,0.79,0.65,NA,NA,NA,5,24.46,1.36,17.99,0.4
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,54.41,41.15,25.44,3.82,2.81,1.32,0.62,0.74,NA,NA,NA,5,20.85,1.21,17.23,0.38
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,50.93,42.01,25.34,3.9,3.98,1.21,0.6,1.02,NA,NA,NA,5,24.19,1.23,19.67,0.47
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,50.02,40.66,27.77,5.26,4.11,1.23,0.68,0.78,NA,NA,NA,5,22.89,1.04,22.01,0.46
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,52.16,43.33,25.44,2.99,3.41,1.2,0.59,1.14,NA,NA,NA,5,22.32,1.59,14.04,0.43
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,55.71,45.52,30.61,2.79,4.75,1.22,0.67,1.7,NA,NA,NA,5,26.15,0.89,29.38,0.47
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,49.46,44.13,28.33,4.12,5.35,1.12,0.64,1.3,NA,NA,NA,5,24.78,1.29,19.21,0.5
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,54.12,43.61,28.72,3.44,4.4,1.24,0.66,1.28,NA,NA,NA,5,26.69,1.19,22.43,0.49
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,54.1,44.96,27.39,4.83,3.76,1.2,0.61,0.78,NA,NA,NA,5,29.17,1.51,19.32,0.54
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,56.25,40.79,28.14,3.06,3.28,1.38,0.69,1.07,NA,NA,NA,5,25.52,1.2,21.27,0.45
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,55.02,43.27,30.01,3.16,4.26,1.27,0.69,1.35,NA,NA,NA,5,26.86,1.14,23.56,0.49
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,52.81,43.73,30.04,3.45,4.15,1.21,0.69,1.2,NA,NA,NA,5,23.69,1.13,20.96,0.45
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,51.99,41.1,25.81,3.42,3.79,1.26,0.63,1.11,NA,NA,NA,5,25.04,1.44,17.39,0.48
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,50.18,39.09,26.79,4.25,3.51,1.28,0.69,0.83,NA,NA,NA,5,23.3,1.41,16.52,0.46
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,53.32,39.64,25.46,3.92,3.66,1.35,0.64,0.93,NA,NA,NA,5,26.43,1.37,19.29,0.5
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,51.04,43.4,27,3.15,3.37,1.18,0.62,1.07,NA,NA,NA,5,25.53,1.23,20.76,0.5
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,51.21,39.94,28.06,3.74,4.73,1.28,0.7,1.26,NA,NA,NA,5,25.22,1.42,17.76,0.49
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,54.18,43.44,28.98,4.35,3.31,1.25,0.67,0.76,NA,NA,NA,5,24.59,1.03,23.87,0.45
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,51.02,44.11,25.86,1.52,2.44,1.16,0.59,1.61,NA,NA,NA,5,29.57,1.03,28.71,0.58
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,51.59,45.49,27.21,1.59,3.3,1.13,0.6,2.08,NA,NA,NA,5,27.6,0.94,29.36,0.53
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,48.86,30.38,23.78,0.87,1.87,1.61,0.78,2.15,NA,NA,NA,5,35.21,1.03,34.18,0.72
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,51.16,32.92,24.44,2.06,2.22,1.55,0.74,1.08,NA,NA,NA,5,34,2.06,16.5,0.66
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,48.67,41.3,25.22,1.6,2.86,1.18,0.61,1.79,NA,NA,NA,5,30.46,1.16,26.26,0.63
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,54.06,34.63,26.35,0.79,3.05,1.56,0.76,3.86,NA,NA,NA,5,32.05,1.3,24.65,0.59
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,51.49,43.14,25.56,1.27,2.92,1.19,0.59,2.3,NA,NA,NA,5,34.24,0.86,39.81,0.66
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,46.95,41.17,24.03,1.37,2.57,1.14,0.58,1.88,NA,NA,NA,5,36.75,1.14,32.24,0.78
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,51.54,30.67,23.68,1.16,1.89,1.68,0.77,1.63,NA,NA,NA,5,33.75,1.13,29.87,0.65
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,48.52,41.73,23.81,3.54,3.17,1.16,0.57,0.9,NA,NA,NA,5,32.03,0.95,33.72,0.66
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,54.97,34.13,27.51,1.92,3.56,1.61,0.81,1.85,NA,NA,NA,5,42.6,1.75,24.34,0.77
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,51.89,41.67,24.9,2.22,3.22,1.25,0.6,1.45,NA,NA,NA,5,32.7,0.81,40.37,0.63
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,47.86,41.48,22.05,1.65,2.78,1.15,0.53,1.68,NA,NA,NA,5,28.06,0.94,29.85,0.59
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,48.54,32.3,23.81,1.21,2.44,1.5,0.74,2.02,NA,NA,NA,5,31.21,0.83,37.6,0.64
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,50.6,39.22,24.3,1.84,2.63,1.29,0.62,1.43,NA,NA,NA,5,32.43,0.84,38.61,0.64
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,51.87,42.75,26.14,1.95,2.73,1.21,0.61,1.4,NA,NA,NA,5,34.25,0.83,41.27,0.66
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,48.02,43.6,24.16,1.29,2.79,1.1,0.55,2.16,NA,NA,NA,5,28.75,0.87,33.05,0.6
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,50.92,41.02,25.22,3.17,2.94,1.24,0.61,0.93,NA,NA,NA,5,32.51,0.63,51.6,0.64
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,47.19,38.48,24.48,1.9,1.9,1.23,0.64,1,NA,NA,NA,5,32.48,1.46,22.25,0.69
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,49.27,38.84,24.67,1.46,2.59,1.27,0.64,1.77,NA,NA,NA,5,28.92,1.14,25.37,0.59
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,51.44,32.63,24.43,1.81,1.95,1.58,0.75,1.08,NA,NA,NA,5,29.95,0.65,46.08,0.58
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,47.78,39.86,25.02,1.86,2.25,1.2,0.63,1.21,NA,NA,NA,5,34.37,0.86,39.97,0.72
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,47.7,42.84,24.29,1.13,2.44,1.11,0.57,2.16,NA,NA,NA,5,27.87,0.83,33.58,0.58
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,49.65,28.67,23.02,1.57,2.52,1.73,0.8,1.61,NA,NA,NA,5,27.9,0.7,39.86,0.56
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,46.57,38.21,22.95,1.87,2.21,1.22,0.6,1.18,NA,NA,NA,5,27.76,0.7,39.66,0.6
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,48.02,30.33,24.11,1.08,2.08,1.58,0.79,1.93,NA,NA,NA,5,29.6,0.92,32.17,0.62
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,45.92,32.84,23.35,1.59,2.54,1.4,0.71,1.6,NA,NA,NA,5,28.81,0.71,40.58,0.63
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,45.02,38.13,22.56,1.29,1.9,1.18,0.59,1.47,NA,NA,NA,5,30.27,0.73,41.47,0.67
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,42.54,35.54,21.98,1.11,2.22,1.2,0.62,2,NA,NA,NA,5,27.83,0.7,39.76,0.65
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,46.41,25.95,22.49,0.95,2.21,1.79,0.87,2.33,NA,NA,NA,5,26.75,0.52,51.44,0.58
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,46.85,36.47,24.06,2.79,3.26,1.28,0.66,1.17,NA,NA,NA,5,30.58,0.99,30.89,0.65
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,47.92,34.14,25.21,3.69,2.48,1.4,0.74,0.67,NA,NA,NA,5,28.29,1.33,21.27,0.59
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,41.63,33.37,22.51,3.04,3.57,1.25,0.67,1.17,NA,NA,NA,5,28.4,0.76,37.37,0.68
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,40.14,31.56,22.55,2.67,3.25,1.27,0.71,1.22,NA,NA,NA,5,27.79,1.31,21.21,0.69
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,42.28,32.38,21.06,2.73,3.18,1.31,0.65,1.16,NA,NA,NA,5,20.66,1.11,18.61,0.49
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,40.37,30.56,20.42,2.72,3.52,1.32,0.67,1.29,NA,NA,NA,5,25.11,1.11,22.62,0.62
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,44.21,36.82,22.53,2.44,3.02,1.2,0.61,1.24,NA,NA,NA,5,26.58,1.36,19.54,0.6
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,44.45,36.99,22.86,3.58,4.14,1.2,0.62,1.16,NA,NA,NA,5,30.79,1.59,19.36,0.69
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,40.89,33.41,21.62,2.87,2.75,1.22,0.65,0.96,NA,NA,NA,5,22.13,0.99,22.35,0.54
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,46.84,30.5,22.74,1.86,3.55,1.54,0.75,1.91,NA,NA,NA,5,26.64,2.25,11.84,0.57
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,44.03,30.56,22.64,2,3.05,1.44,0.74,1.53,NA,NA,NA,5,27.74,2.37,11.7,0.63
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,43.35,33.39,22.67,3.47,3.23,1.3,0.68,0.93,NA,NA,NA,5,24.36,1.36,17.91,0.56
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,44.02,32.63,22.8,2.57,3.55,1.35,0.7,1.38,NA,NA,NA,5,21.98,1.47,14.95,0.5
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,42.34,32.82,22.79,3.39,2.79,1.29,0.69,0.82,NA,NA,NA,5,25.07,1.78,14.08,0.59
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,43.7,34.53,22.18,2.77,3.13,1.27,0.64,1.13,NA,NA,NA,5,28.89,1.26,22.93,0.66
Reference,Epacris,Epacris purpurascens,NA,2,1,3,3,1,48.8,38.73,25.26,5.32,4.58,1.26,0.65,0.86,NA,NA,NA,5,30.53,1.11,27.5,0.63
Reference,Epacris,Epacris purpurascens,NA,2,1,3,3,1,51.22,40.03,24.61,3.37,3.51,1.28,0.61,1.04,NA,NA,NA,5,34.33,1.4,24.52,0.67
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,53.62,43.86,29.66,3.97,3.45,1.22,0.68,0.87,NA,NA,NA,5,40.13,1,40.13,0.75
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,56.65,44.04,29.98,3.37,3.24,1.29,0.68,0.96,NA,NA,NA,5,41.14,1.49,27.61,0.73
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,58.52,41.74,30.66,3.16,3.85,1.4,0.73,1.22,NA,NA,NA,5,40.32,1.13,35.68,0.69
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,56.27,43.32,31.89,3.32,3.32,1.3,0.74,1,NA,NA,NA,5,39.54,1.22,32.41,0.7
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,0,46.7,38.09,24.08,3.95,4.47,1.23,0.63,1.13,NA,NA,NA,5,30.41,1.28,23.76,0.65
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,54.05,42.11,31.77,3.69,4.32,1.28,0.75,1.17,NA,NA,NA,5,30.58,0.97,31.53,0.57
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,59.5,42.83,32.48,3.18,5.35,1.39,0.76,1.68,NA,NA,NA,5,39.71,0.98,40.52,0.67
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,62,49.31,32.38,3.69,4.11,1.26,0.66,1.11,NA,NA,NA,5,44.28,1.22,36.3,0.71
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,47.08,36.88,25.62,2.72,4.5,1.28,0.69,1.65,NA,NA,NA,5,30.98,0.95,32.61,0.66
Reference,Epacris,Epacris purpurascens,NA,2,1,3,3,1,47.87,38.15,26.62,3.6,4.72,1.25,0.7,1.31,NA,NA,NA,5,35.8,1,35.8,0.75
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,46.55,36.79,25.23,4.14,4.34,1.27,0.69,1.05,NA,NA,NA,5,35.87,0.78,45.99,0.77
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,49.96,41.2,26.47,3.54,4.14,1.21,0.64,1.17,NA,NA,NA,5,32.92,1.14,28.88,0.66
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,1,45.96,41.71,26.13,3.24,4.53,1.1,0.63,1.4,NA,NA,NA,5,32.86,1.1,29.87,0.71
Reference,Epacris,Epacris purpurascens,NA,2,1,3,1,0,52.49,42.41,30.64,3.14,3.94,1.24,0.72,1.25,NA,NA,NA,5,33.15,1,33.15,0.63
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,49,39.86,26.44,3.41,3.31,1.23,0.66,0.97,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,51.07,37.75,24.88,3.99,3.29,1.35,0.66,0.82,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,51.27,43.72,27.76,3.74,4.2,1.17,0.63,1.12,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,48.96,41.61,25.9,3.71,3.98,1.18,0.62,1.07,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,45.98,39.92,24.62,5.74,4.79,1.15,0.62,0.83,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,52.22,42.1,26.5,4.74,3.45,1.24,0.63,0.73,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,51.26,35.86,28,4.07,3.99,1.43,0.78,0.98,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,49.72,39.87,24.98,3.35,3.85,1.25,0.63,1.15,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,54.04,41.54,26.89,4.69,3.85,1.3,0.65,0.82,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,53.63,40.46,28.99,4.9,5.31,1.33,0.72,1.08,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,51.98,40.72,26.83,4.17,4.07,1.28,0.66,0.98,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,48.25,40.12,24,4.33,4.26,1.2,0.6,0.98,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,47.01,39.42,25.88,4.42,4.62,1.19,0.66,1.05,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,52.1,42.49,26.52,6.38,4.54,1.23,0.62,0.71,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,50.27,40.65,26.05,3.83,4.16,1.24,0.64,1.09,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,53.72,42.32,27.18,5.23,3.54,1.27,0.64,0.68,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,52.42,40.03,26.17,3.63,3.06,1.31,0.65,0.84,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,47.68,40.36,25.62,3.27,3.03,1.18,0.63,0.93,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,49.78,40.66,25.22,2.59,3.48,1.22,0.62,1.34,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,50.42,36.37,24.97,4.24,3.4,1.39,0.69,0.8,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,51.19,37.81,27.75,2.49,3.1,1.35,0.73,1.24,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,48.32,37.17,24.84,3.45,3.45,1.3,0.67,1,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,54.49,42.38,27.28,3.02,3.09,1.29,0.64,1.02,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,48.32,37.04,23.84,2.96,3.58,1.3,0.64,1.21,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,48.36,34.76,28.84,3.67,3.2,1.39,0.83,0.87,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,48.35,40.36,26.08,2.75,3.12,1.2,0.65,1.13,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,41.35,38.02,21.68,4.33,3.92,1.09,0.57,0.91,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,49.45,37.79,26.09,2.6,3.28,1.31,0.69,1.26,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,53.37,42.07,27.07,2.47,3.18,1.27,0.64,1.29,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris rigida,NA,2,1,3,1,2,48.29,37.94,23.34,3.75,2.7,1.27,0.62,0.72,NA,NA,NA,5,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,23.13,NA,1.94,NA,NA,NA,23.46,0.99,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,23.76,NA,1.75,NA,NA,NA,23.21,1.02,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,24.08,NA,2.27,NA,NA,NA,21.7,1.11,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,19.24,NA,1.75,NA,NA,NA,17.87,1.08,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,20.49,NA,1.24,NA,NA,NA,20.4,1,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,17.46,NA,1.11,NA,NA,NA,18.87,0.93,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,20.33,NA,1.49,NA,NA,NA,19.86,1.02,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,21.86,NA,1.6,NA,NA,NA,22.86,0.96,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,25.38,NA,1.43,NA,NA,NA,24.46,1.04,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,20.65,NA,2.7,NA,NA,NA,18.65,1.11,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,18.35,NA,1.29,NA,NA,NA,20.27,0.91,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,21.49,NA,1.65,NA,NA,NA,19.78,1.09,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,22.38,NA,1.83,NA,NA,NA,21.24,1.05,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,19.24,NA,2.22,NA,NA,NA,20.57,0.94,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,22.76,NA,1.71,NA,NA,NA,22.95,0.99,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,24.25,NA,2.16,NA,NA,NA,24.02,1.01,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,25.76,NA,2.4,NA,NA,NA,23.59,1.09,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,25.63,NA,1.51,NA,NA,NA,24,1.07,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,22.06,NA,1.68,NA,NA,NA,23.41,0.94,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,24.83,NA,1.73,NA,NA,NA,23.03,1.08,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,23.11,NA,2.13,NA,NA,NA,23.19,1,NA,4,13.6,3.32,4.1,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,23.89,NA,1.86,NA,NA,NA,22.84,1.05,NA,6,NA,4.06,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,21.46,NA,1.71,NA,NA,NA,22.71,0.94,NA,4,NA,4.78,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,28.13,NA,2,NA,NA,NA,26.32,1.07,NA,6,11.32,3.4,3.33,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,26.86,NA,1.52,NA,NA,NA,22.95,1.17,NA,7,11.68,3.43,3.41,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,24.81,NA,1.86,NA,NA,NA,23.94,1.04,NA,6,NA,2.68,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,25.83,NA,1.76,NA,NA,NA,24.75,1.04,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,24.1,NA,1.62,NA,NA,NA,23.7,1.01,NA,6,14.49,3.57,4.06,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,23.52,NA,2.14,NA,NA,NA,23.21,0.96,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,22.79,NA,1.75,NA,NA,NA,23.67,NA,NA,NA,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,25.3,NA,1.43,NA,NA,NA,23.24,1.09,NA,6,13.44,3.6,3.73,NA
