Type,Genus,Species,Fossil type,Dispersal unit,Isodiametric tetrad or anisodiametric tetrad,Aperture type,Amb shape (polar view shape),Exine ornamentation (surface),Tetrad diameter (D) (µm),Individual cell equatorial diameter (d) (µm),Individual cell polar axis (P) or Monad polar axis (P) (µm),Septum (septal exine) thickness (Se) (µm),Exine thickness (Ex) (µm),Tetrad diameter/Cell equatorial diameter (D/d),Cell P/E axis ratio (P/d),Ex/Se,Monad equatorial diameter (E),Monad P/E axis ratio (P/E),Cell big polar axis (µm),Equatorial shape,"Aperture length (2f for tetrad, L for monad) (µm)",Aperture width (W) (µm),2f/W or L/W,2f/D
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,34.7,27.94,17.91,2.8,2.96,1.24,0.64,1.06,NA,NA,NA,5,19.67,1,19.67,0.57
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,34.57,28.77,17.29,2.54,2.67,1.2,0.6,1.05,NA,NA,NA,5,18.06,0.6,30.1,0.52
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,38.89,28.93,19.93,2.85,3.08,1.34,0.69,1.08,NA,NA,NA,5,19.16,1.02,18.78,0.49
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,36.44,25.92,19.15,1.74,2.46,1.41,0.74,1.41,NA,NA,NA,5,20.68,1.67,12.38,0.57
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,33.65,22.67,16.29,2.14,2.88,1.48,0.72,1.35,NA,NA,NA,5,18.79,0.85,22.11,0.56
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,35.64,28.52,18.07,1.87,2.57,1.25,0.63,1.37,NA,NA,NA,5,21.5,0.64,33.59,0.6
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,35.37,29.78,18.13,1.76,2.59,1.19,0.61,1.47,NA,NA,NA,5,21.04,0.81,25.98,0.59
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,37.59,28.58,18.03,1.75,2.97,1.32,0.63,1.7,NA,NA,NA,5,19.16,0.74,25.89,0.51
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,42.2,33.27,22.48,2.25,3.76,1.27,0.68,1.67,NA,NA,NA,5,23,0.56,41.07,0.55
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,41.8,39.98,18.13,3.53,3.88,1.05,0.45,1.1,NA,NA,NA,5,21.57,1.19,18.13,0.52
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,43.04,32.5,22.18,2.47,3.05,1.32,0.68,1.23,NA,NA,NA,5,19.89,0.8,24.86,0.46
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,40.39,34.61,23.67,3.62,3.58,1.17,0.68,0.99,NA,NA,NA,5,23.28,0.98,23.76,0.58
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,41.88,33.32,22.64,2.9,3.86,1.26,0.68,1.33,NA,NA,NA,5,25.35,0.94,26.97,0.61
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,40.35,34.42,22,4.35,3.26,1.17,0.64,0.75,NA,NA,NA,5,23.15,0.74,31.28,0.57
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,42.28,33.89,23.55,2.4,3.77,1.25,0.69,1.57,NA,NA,NA,5,25.6,0.72,35.56,0.61
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,42.09,33.19,22.4,2.44,3.84,1.27,0.67,1.57,NA,NA,NA,5,22.75,0.73,31.16,0.54
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,42.76,35.55,24.4,3,4.18,1.2,0.69,1.39,NA,NA,NA,5,23.36,1.33,17.56,0.55
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,39.99,30.47,21.81,2.33,3.62,1.31,0.72,1.55,NA,NA,NA,5,21.83,0.79,27.63,0.55
Reference,Epacris,Epacris impressa,NA,2,1,3,1,6,65.7,48.59,35.19,2.56,2.84,1.35,0.72,1.11,NA,NA,NA,5,33.31,1.45,22.97,0.51
Reference,Epacris,Epacris impressa,NA,2,1,3,1,6,69.63,51.74,34.88,2.26,2.99,1.35,0.67,1.32,NA,NA,NA,5,38.51,0.67,57.48,0.55
Reference,Epacris,Epacris impressa,NA,2,1,3,2,1,65.54,47.74,35.47,2.73,2.93,1.37,0.74,1.07,NA,NA,NA,5,34.24,0.67,51.1,0.52
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,68.15,51.16,35.65,2.94,2.7,1.33,0.7,0.92,NA,NA,NA,5,35.3,0.82,43.05,0.52
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,64.3,48.9,31.66,3.19,2.98,1.31,0.65,0.93,NA,NA,NA,5,34.74,0.78,44.54,0.54
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,68.25,46.94,34.35,2.95,3.31,1.45,0.73,1.12,NA,NA,NA,5,37.54,0.69,54.41,0.55
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,68.29,50.43,37.18,2.98,3.67,1.35,0.74,1.23,NA,NA,NA,5,37.5,1.02,36.76,0.55
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,64.62,51.89,35.58,2.71,3.18,1.25,0.69,1.17,NA,NA,NA,5,42.47,1,42.47,0.66
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,70.19,48.15,36.3,2.71,2.97,1.46,0.75,1.1,NA,NA,NA,5,38.51,0.9,42.79,0.55
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,72.02,55.55,38.65,3.1,3.49,1.3,0.7,1.13,NA,NA,NA,5,40.68,0.73,55.73,0.56
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,67.62,49.37,34.73,2.85,3.09,1.37,0.7,1.08,NA,NA,NA,5,34.92,1.27,27.5,0.52
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,71.61,50.64,36.41,2.72,3.55,1.41,0.72,1.31,NA,NA,NA,5,35.84,0.86,41.67,0.5
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,66.55,50.12,34.33,2.32,2.93,1.33,0.68,1.26,NA,NA,NA,5,30.82,0.93,33.14,0.46
